"Khatchig Mouradian is a journalist, writer and translator born in Lebanon .","(Khatchig Mouradian, place of birth, Lebanon)"
"Arthur Napoleão dos Santos (March 6, 1843 Porto, Portugal - May 12, 1925 Rio de Janeiro, Brazil) was a Brazilian composer, pianist, instrument dealer and music publisher .","(Arthur Napoleão dos Santos, place of birth, Porto)"
"The son of Colonel John William Little and Kate Nicholson Little, he was born in London, Ontario, Canada .","(Edgar Sydney Little, place of birth, London)"
Cedric Myton born in Jamaica is a Reggae musician and Rastafarian .,"(Cedric Myton, place of birth, Jamaica)"
"Born in London in 1938, Jankel was educated at St Paul's School and studied engineering at Chelsea College .","(Robert Jankel, place of birth, London)"
"Jacqueline Carey (b. 1954 in Cambridge, Massachusetts) is an American novelist and short story writer .","(Jacqueline Carey, place of birth, Cambridge)"
"Born in Michigan, Presser began composing in 1939 .","(William Presser, place of birth, Michigan)"
"Natallia Helakh (; , Nataliya Gelakh) (born 30 May 1978 in Brest) is a Belarusian rower .","(Natallia Helakh, place of birth, Brest)"
Yvette Higgins (born 5 January 1978 in Sydney) is an Australian water polo player from the gold medal squad of the 2000 Summer Olympics .,"(Yvette Higgins, place of birth, Sydney)"
"Payne was under the impression that he was a Barbadian citizen, but did not know that he was born in Trinidad to Barbadian parents .","(Clement Payne, place of birth, Trinidad)"
Dragoş Neagu (born 28 February 1967 in Bucharest) is a Romanian rower .,"(Dragoș Neagu, place of birth, Bucharest)"
"Theodore Augustine Mann (1735--1809) was an English naturalist and historian, born in Yorkshire on June 22, 1735 .","(Theodore Augustine Mann, place of birth, Yorkshire)"
"Born in Australia, Turner worked on the Newcastle Morning Herald before moving to England to work as a journalist at the Manchester Evening News .","(Lloyd Turner, place of birth, Australia)"
"Louise Christian (born 22 May 1952, Oxford) is an award-winning British human rights lawyer .","(Louise Christian, place of birth, Oxford)"
"Silas Bowker (April 26, 1769 Concord, Middlesex County, Massachusetts - October 14, 1834 Locke, Cayuga County, New York) was an American politician from New York .","(Silas Bowker, place of birth, Concord)"
Lernoux was born into a comfortable Roman Catholic family in California and excelled in school .,"(Penny Lernoux, place of birth, California)"
"Immediately after his arrival, Postigo developed a strong interest in the theater industry .","(Serge Postigo, place of birth, France)"
"Born in Chicago, Illinois, Munts graduated from Swarthmore College .","(Mary Lou Munts, place of birth, Chicago)"
"Born in Tehran, Iran, Tabrizian studied at the Polytechnic of Central London in the 1980s .","(Mitra Tabrizian, place of birth, Tehran)"
Zeng Fanyi (; born January 1968 in Shanghai) is stem cell scientist and professor at Shanghai Jiao Tong University (SJTU) medical school .,"(Zeng Fanyi, place of birth, Shanghai)"
"Rani Price, born Rani Khanijau (born 29 January 1970, Liverpool) is a children's television presenter who has presented a variety of children's shows for CBBC Channel, Disney, Channel 5 and Nickelodeon .","(Rani Price, place of birth, Liverpool)"
"Lorne Resnick (born May 16, 1961) is a Los Angeles based photographer who was born and raised in Toronto, Canada .","(Lorne Resnick, place of birth, Toronto)"
"Fabrizio Marrella, born in Venice (Italy), is Professor of International Law and of International Business Law at the University of Venice .","(Fabrizio Marrella, place of birth, Venice)"
"Mónica Estarreado (born 29 June 1975 in Madrid, Spain) is a Spanish actress of Spanish Origen (palurdos! ) .","(Mónica Estarreado, place of birth, Madrid)"
"The daughter of Edward Pakenham, 2nd Baron Longford and the former Catherine Rowley, she was born Catherine Pakenham on 14 January 1773 in Dublin, Ireland .","(Catherine Wellesley, Duchess of Wellington, place of birth, Dublin)"
"Oliver Lieb (born December 31, 1969, Frankfurt, Germany) is a German electronic music producer and DJ Lieb is known to have more than a dozen aliases with over 200 productions and remixes in various electronic genres such as, trance, house, and techno .","(Oliver Lieb, place of birth, Frankfurt)"
"Born in Grimsby, Clulow worked as a continuity announcer and newsreader for Westward Television from the late 1970s until 1981 .","(Jennifer Clulow, place of birth, Grimsby)"
"Born in Rochester, New York, Sarfaty grew up in Brooklyn, New York .","(Regina Sarfaty, place of birth, Rochester)"
"William C Clark (born 20 December 1948 in Greenwich, Connecticut) is an American ecologist and environmental policy analyst, and Harvey Brooks Professor of International Science, Public Policy and Human Development at the John F Kennedy School of Government, Harvard University .","(William C. Clark, place of birth, Greenwich)"
"Léonce Alloy, born in Paris in 1875, died 1949, was a French medallic sculptor and engraver .","(Léonce Alloy, place of birth, Paris)"
"WT Pfefferle is an author and poet born in Hamilton, Ontario, Canada, but who was based in Texas for many years .","(W. T. Pfefferle, place of birth, Hamilton)"
Torgeir Eikstad Micaelsen (born 20 May 1979 in Bergen) is a Norwegian politician for the Labour Party .,"(Torgeir Micaelsen, place of birth, Bergen)"
"Bennett was born at Grimsby, the son of William Bennett and his wife Ann .","(Joseph Bennett, place of birth, Grimsby)"
"Frederick Gunton, born 1813 in Norwich, and died 1888 in Chester, was an English Organist .","(Frederick Gunton, place of birth, Norwich)"
"Born in Akron, Ohio, Popovich was in the United States Air Force from 1951--53, and thereafter received a BA from the University of Pittsburgh in 1954, and an LLB from the University of Pittsburgh Law School, 1957 .","(Zoran Popovich, place of birth, Akron)"
"Born in Spain of a Basque family, Garma studied medicine in Madrid .","(Ángel Garma, place of birth, Spain)"
Pernille Rose Grønkjær (born in 1973 in Denmark) is a Danish film director .,"(Pernille Rose Gr%C3%B8nkj%C3%A6r, place of birth, Denmark)"
"Born in Syria, Mohammed Loay Bayazid is an American citizen alleged to have been a founding member of al-Qaeda, although he has cooperated with American authorities and claims his role in the group has been over-stated .","(Mohammed Loay Bayazid, place of birth, Syria)"
"Graph Nobel, born in Toronto to Trinidadian parents, was exposed to the musical styles of parang and calypso and soca of the Trindadian culture, as well as reggae music .","(Graph Nobel, place of birth, Toronto)"
"Robert van der Zant (born February 2, 1975 in Brisbane, Queensland) is a former medley swimmer who competed for Australia at the 2000 Summer Olympics in Sydney .","(Robert van der Zant, place of birth, Queensland)"
"Edward Duyker (born 21 March 1955) is an Australian historian and author born in Melbourne, Victoria, to a father from the Netherlands and a mother from Mauritius .","(Edward Duyker, place of birth, Melbourne)"
"Boris Andreevich Grushin (; 2 August 1929, Moscow -- 18 September 2007, Moscow) was a well known Soviet and Russian philosopher, sociologist and historical and sociological scientist .","(Boris Grushin, place of birth, Moscow)"
Sumalee Montano (born: 1972) is an actress .,"(Sumalee Montano, place of birth, Columbus)"
"Juan Alfon, born at Toledo, painted, in 1418, several altar-screens for the cathedral of that city, which are still preserved .","(Juan Alfon, place of birth, Toledo)"
Bourgelat was born at Lyon .,"(Claude Bourgelat, place of birth, Lyon)"
"Henri de Contenson (born 4 March 1926, in Paris), is a French Archaeologist and was Research Director at CNRS, The Centre National de la Recherche Scientifique (National Center for Scientific Research), a research organization funded by France's Ministry of Research .","(Henri de Contenson, place of birth, Paris)"
"Morton Estrin, the noted American pianist, was born in Burlington, Vermont in 1923 .","(Morton Estrin, place of birth, Burlington)"
"Yasir Butt, (born July 3, 1988 in Lahore) is a professional squash player who represented Pakistan .","(Yasir Butt, place of birth, Lahore)"
"Born in Naples, Carlo Emery was professor of Zoology at the University of Bologna .","(Carlo Emery, place of birth, Naples)"
"Klas Magnus Rosén is a Swedish musician, born 1963 in Gothenburg, and is best known for being the bassist of the Swedish band HammerFall during the years 1997-2007 .","(Magnus Rosén, place of birth, Gothenburg)"
"Alan Aboud, graphic designer and creative director, was born in Dublin, Ireland on 13 May 1966 .","(Alan Aboud, place of birth, Dublin)"
"Zoltán Kósz (born November 26, 1967 in Budapest) is a Hungarian water polo player, who played on the gold medal squad at the 2000 Summer Olympics .","(Zoltan Kósz, place of birth, Budapest)"
Alistair Elliot (born 13 October 1932 Liverpool) is a British poet and translator .,"(Alistair Elliot, place of birth, Liverpool)"
"Born in Franklin, Massachusetts, Fisher attended the common schools and Brown University, Providence, Rhode Island .","(George Fisher, place of birth, Franklin)"
"According to the Thirteenth Census of the United States in 1910, a Cleve Chafin, who was born in Kentucky and aged 22, was a prisoner at the city jail in Cabell County, West Virginia at the time of the census .","(Cleve Chaffin, place of birth, Kentucky)"
"Sal Cannella (b. 1943 in Newark, New Jersey) is an American politician from California and a member of the Democratic party .","(Sal Cannella, place of birth, Newark)"
"Sherry Kramer is an American playwright, born in Springfield, Missouri .","(Sherry Kramer, place of birth, Springfield)"
"He was known as Mancken Heyn, or crippled Hein, though his still-life paintings were highly regarded and weren't at all crippled .","(Hendrick Andriessen, place of birth, Antwerp)"
"Carl Herman Kraeling (1897--1966), theologian, historian, and an American archeologist; born in Brooklyn on March 10, 1897 and died in New Haven in 1966; he is known for its publications on the synagogue and the Christian chapel of Doura Europos .","(Carl Herman Kraeling, place of birth, Brooklyn)"
"Charles Gustavus Adolphus Drucker (born May 1, 1868, Amsterdam, died December 10, 1903, New York City) was a Conservative Member of Parliament for Northampton .","(Adolphus Drucker, place of birth, Amsterdam)"
Eileen O'Keefe (born 31 May 1981 in Kilkenny) is a former female hammer thrower from Ireland .,"(Eileen O'Keeffe, place of birth, Kilkenny)"
"Deyan Vatchkov (born April 8, 1979, Sofia) is a Bulgarian operatic bass, .","(Deyan Vatchkov, place of birth, Sofia)"
André Léri (1875 - 8 September 1930) was a French neurologist who was born in Paris .,"(André Léri, place of birth, Paris)"
Nicolás Antonio de Arredondo (1740 -- id 1802) was a Spanish soldier and politician born in Madrid .,"(Nicolás Antonio de Arredondo, place of birth, Madrid)"
"Aaron of Lincoln was an English Jewish financier (born at Lincoln, England, about 1125, died 1186) .","(Aaron of Lincoln, place of birth, Lincoln)"
"Martin Jervan (May 13, 1891 Tallinn -- October 15, 1942, Chelyabinsk) was an Estonian Major General and medical doctor .","(Martin Jervan, place of birth, Tallinn)"
"Pankaj Dharmani (born 27 September 1974, in Delhi, India) is a former Indian cricketer .","(Pankaj Dharmani, place of birth, Delhi)"
"Nick Dranias (Born in Chicago, IL in 1971), is an attorney and the director of the Joseph and Dorothy Moller Center for Constitutional Government at the Phoenix, AZ think tank the Goldwater Institute .","(Nick Dranias, place of birth, Chicago)"
"Born in England, Abram became interested in music when he was six; he began composing in his teenage years .","(John Abram, place of birth, England)"
Laurent Petitguillaume (born on 21 February 1960 in Tours) is a French radio and television host .,"(Laurent Petitguillaume, place of birth, Tours)"
"Walter J Mahoney (March 10, 1908 Buffalo, New York - March 1, 1982) was an American lawyer and politician .","(Walter J. Mahoney, place of birth, Buffalo)"
"Buik was born on 13 May 1824 in Dundee, Scotland of Andrew Buik and Elizabeth (or Elspeth) nee Edward .","(William Buik, place of birth, Dundee)"
"Born in Philadelphia on March 21, 1828, Webb was an active part of the city's community of free African Americans by the time he married in 1845 .","(Frank J. Webb, place of birth, Philadelphia)"
"Garnett, born in London on 13 Nov .","(William Garnett, place of birth, London)"
"Sylvester Ahola (May 24, 1902 -- 1995), a.ka Hooley, was a classic jazz trumpeter and cornetist born in Gloucester, Massachusetts .","(Sylvester Ahola, place of birth, Gloucester)"
Petras Geniušas (born 1961 in Vilnius) is a Lithuanian classical pianist .,"(Petras Geniušas, place of birth, Vilnius)"
"Joy Katz (born 1963 Newark, New Jersey) is an American poet, who was recently awarded a 2011 National Endowment for the Arts Fellowship for Poetry .","(Joy Katz, place of birth, Newark)"
"Michael Khodarkovsky (Odessa, USSR, July 21, 1958) is FIDE Senior Trainer and Chess Master, was born in Odessa, Ukraine on July 21, 1958 .","(Michael Khodarkovsky, place of birth, Odessa)"
"Arthur N Martin (August 31, 1889 -- 1961) was a Canadian painter, born in Toronto, Ontario .","(Arthur N. Martin, place of birth, Toronto)"
Telhami was born into an Arab family in Israel and has spoken on his experience as an Arab Israeli at the Palestine Center .,"(Shibley Telhami, place of birth, Israel)"
Jim Berry (born 15 June 1945 in Oklahoma) is a chess expert and President of the United States Chess Federation .,"(Jim Berry, place of birth, Oklahoma)"
"Born in Birmingham as Joshua Smith, he moved to London in 1835 and pursued a career in law, studying at Lincoln's Inn .","(Joshua Toulmin Smith, place of birth, Birmingham)"
"Born in Montreal, Quebec, Boire was a Bloc Québécois member of the Canadian House of Commons .","(Alain Boire, place of birth, Montreal)"
Yash Daryanani (born 1981 Chennai (then Madras)) is a Surinamese swimmer and coach .,"(Yash Daryanani, place of birth, Chennai)"
"Born in Cleveland, Ohio, Marty joined WJAC in 1974, after previous jobs on radio .","(Marty Radovanic, place of birth, Cleveland)"
"Sara Badr (born June 27, 1987 in Cairo) is a professional squash player who represented Egypt .","(Sara Badr, place of birth, Cairo)"
"Norbert Wissing (born 18 May 1959, Amsterdam) is a Dutch composer of chamber music, orchestral music, music for theatre and classical music .","(Norbert Wissing, place of birth, Amsterdam)"
"Sergey Kozlov (born June 15, 1964 Moscow) is a prominent award-winning American cinematographer .","(Sergey Kozlov, place of birth, Moscow)"
"Born in France, Armstrong studied law at Cambridge University and practised as a barrister before embarking on a military career .","(Michael Armstrong, place of birth, France)"
"Charles Crawford (30 August 1897 Nashville, Tennessee -- 1 June 1958 Calhoun, Georgia) was an American racecar driver .","(Charles Crawford, place of birth, Nashville)"
"Luděk Frýbort, born 1933 in Prague, Czechoslovakia, German writer and author living in Hannover, Germany .","(Luděk Frýbort, place of birth, Prague)"
"Frédéric Durieux (born February 27, 1959, Paris) is a noted French composer of orchestral, vocal and chamber works .","(Frédéric Durieux, place of birth, Paris)"
"Born in Darwin, Francis grew up playing both rugby league and Australian rules football .","(Fabian Francis, place of birth, Darwin)"
"Jan Szyszko (born April 19, 1944 in Stara Miłosna, a part of Warsaw) is a Polish politician .","(Jan Szyszko, place of birth, Warsaw)"
"Nathalie De Vos (born 9 December 1982 in Ghent) is a Belgian long-distance runner who specializes in the 5000 and 10,000 metres .","(Nathalie De Vos, place of birth, Ghent)"
"Born in Fulham, Stone studied at the London School of Economics and joined the Independent Labour Party (ILP) .","(George Stone, place of birth, Fulham)"
"Andy King, born in Vancouver, British Columbia, is also known as Ace King, and Dick Van Gunn .","(Andy King, place of birth, Vancouver)"
"Born in Portsmouth, New Hampshire, Reding attended the common schools .","(John Randall Reding, place of birth, Portsmouth)"
"Born in Lynn, Massachusetts, Donnelly graduated from Boston University and moved to Seattle in 1964 as a Ford Foundation management fellow to work with the fledgling Seattle Repertory Theatre as the first managing director and later as producing director, during his 21 year tenure .","(Peter F. Donnelly, place of birth, Lynn)"
Anton Foljambe (b. 1972 in Christchurch) is a former Chairman of the National Democrats Party (NDP) in New Zealand .,"(Anton Foljambe, place of birth, Christchurch)"
"Felstead, who was born in London in October 1894, was called to action earlier in 1915 and went to the battlefields of France with the 15th (London Welsh) Battalion .","(Bertie Felstead, place of birth, London)"
"Mary Cecil Allen (2 September 1893 Melbourne - 7 April 1962 Provincetown) was an artist, writer and lecturer .","(Mary Cecil Allen, place of birth, Melbourne)"
"Kazimierz Flatau (11 July 1910 in Warsaw -- 25 July 2000 in Poznań) -- Polish harpsichordist, music critic, physicist, translator, and astrologist .","(Kazimierz Flatau, place of birth, Warsaw)"
"Edward Schoeneck (August 1, 1875 Syracuse, Onondaga County, New York - June 22, 1951 Syracuse, Onondaga County, New York) was an American lawyer and politician .","(Edward Schoeneck, place of birth, Syracuse)"
"Neal Peters McCurn (b. 1926 in Syracuse, NY) is a federal judge for the US District Court, Northern District of New York .","(Neal Peters McCurn, place of birth, Syracuse)"
"Alan MacDonald (born in 1958 in Watford) is a children's writer living in Nottingham, England .","(Alan MacDonald, place of birth, Watford)"
"Alby Why, born in Sydney, Australia, was a rugby league player for the South Sydney Rabbitohs in the NSWRL 1930 season .","(Alby Why, place of birth, Sydney)"
"Benjamin Nicholas (born 10 December 1987, in Adelaide, Australia) is an Australian actor .","(Ben Nicholas, place of birth, Adelaide)"
"Michelle Rogers (born 21 January 1976 in Salford) is a British judoka, who competed at the 2008 Summer Olympics in the 78kg class .","(Michelle Rogers, place of birth, Salford)"
"The son of labourer Samuel Gosling and Hannah Nelms, Mark Gosling was born on 7 August 1886 in Birmingham, England .","(Mark Gosling, place of birth, Birmingham)"
Michel Frutschi (born on 6 January 1953 in Geneva - 3 April 1983) was a Grand Prix motorcycle road racer from Switzerland .,"(Michel Frutschi, place of birth, Geneva)"
Graham Doyle is an Irish soccer player who was born in Dublin on 19 January 1974 .,"(Graham Doyle, place of birth, Dublin)"
"Anne Audain (born 1 November 1955 in Auckland) is a New Zealand middle and long distance athlete, competing in three Olympic Games .","(Anne Audain, place of birth, Auckland)"
"Born in Bangor, Wisconsin, Toepel graduated from the University of Wisconsin Law School in 1939 .","(Eugene A. Toepel, place of birth, Bangor)"
"Benjamin Castleman (born May 17, 1906, Everett, Massachusetts; died June 1982, Massachusetts) was an American pathologist best known for the eponymous disease which is named after him, Castleman's disease .","(Benjamin Castleman, place of birth, Everett)"
"Born in Memphis, Tennessee, Wellford earned a bachelor's degree in 1947 from Washington and Lee University and a law degree in 1950 from Vanderbilt University Law School .","(Harry W. Wellford, place of birth, Memphis)"
"Albertus Jonas Brandt, born at Amsterdam in 1788, was a scholar of J E Morel, after whose death, in 1808, he passed two years with G van Os He painted dead game, fruit, and flowers .","(Albertus Jonas Brandt, place of birth, Amsterdam)"
"Victor Krasin (also spelled Viktor Krasin; Russian: Виктор Александрович Красин; born in Kiev, August 4, 1929) is a Russian human rights activist, economist, a former Soviet dissident and a political prisoner .","(Victor Krasin, place of birth, Kiev)"
"Omar Abdel Aziz, (born September 11, 1983 in Cairo) is a professional squash player .","(Omar Abdel Aziz, place of birth, Cairo)"
"Joe Ascione (b. March 14, 1961, Brooklyn, NY) is an American jazz drummer .","(Joe Ascione, place of birth, Brooklyn)"
"Liam McMahon is an Actor, born in Ireland .","(Liam McMahon, place of birth, Ireland)"
"Martin Firrell (born April 4, 1963, Paris, France) has been described variously as a cultural activist, a campaigner, a public artist, or benevolent provocateur, stimulating debate in public space to promote positive social change .","(Martin Firrell, place of birth, France)"
"Born in Santiago, Chile, Matte Blanco was educated in Chile, and before leaving Chile for London, 'was in analysis with Fernando Allende Navarro, Latin America's first qualified psychoanalyst .","(Ignacio Matte Blanco, place of birth, Santiago)"
"Born in Luxembourg in 1965, Marc Hostert attended the European School Luxembourg .","(Marc Hostert, place of birth, Luxembourg)"
"Tom Kazas (b. 1965 in Sydney, Australia) is a composer/song writer, record producer/sound engineer and film maker .","(Tom Kazas, place of birth, Sydney)"
"Michael Brennan, born in Sydney in 1973, is an Australian poet based in Tokyo .","(Michael Brennan, place of birth, Sydney)"
"McKinnon was born 1906 in Dallas, Texas to Dr John and Tennie McKinnon .","(Clinton D. McKinnon, place of birth, Dallas)"
"Ronnie Le Drew is a puppeteer who was born in Toronto, Canada and trained at the Little Angel Theatre, London under John Wright .","(Ronnie Le Drew, place of birth, Toronto)"
"Simon Gerada was born and brought up in Melbourne, Australia and began playing at the age of 9 after he witnessed his father win a shopping center tournament .","(Simon Gerada, place of birth, Melbourne)"
"Internet rumours claim he was born in Dunbar, Scotland, but Greco himself states that this is false, and that he grew up in London .","(Michael Greco, place of birth, Dunbar)"
"Born in Hamilton, Ontario, Travers began his journalism career in 1972 with the Oakville Journal Record in Oakville .","(James Travers, place of birth, Hamilton)"
"Graham, who was born in Lima, Peru, is the mother of three children .","(Carol Graham, place of birth, Lima)"
"Valli Valli, born Valli Knust (11 February 1882 -- 4 November 1927), was a musical comedy actress and silent film performer born in Berlin, Germany .","(Valli Valli, place of birth, Berlin)"
"Francis Asbury Baker (March 30, 1820-April 4, 1865) Born in Baltimore, Maryland, the son of prominent physician and University of Maryland Professor of Medicine, Baker graduated from Princeton University in 1839, was ordained as an Episcopal Deacon in the early 1840s and seemed destined for a career as a respected Protestant clergyman .","(Francis Asbury Baker, place of birth, Baltimore)"
"Born in Cuba, Martinez made a career out of medical malpractice and health law .","(Rafael E. Martinez, place of birth, Cuba)"
"Born in Dunedin, Barnett was the son of William Barnett, an auctioneer, and one of eleven children .","(Arthur Barnett, place of birth, Dunedin)"
"Antonia Okonma (born 24 July 1984 in London, England) is a British actress of Nigerian descent .","(Antonia Okonma, place of birth, London)"
"Born in Sweden to a Swedish mother and Iranian father, Skaugen was raised in London and went on to study Law at Warwick University .","(Noush Skaugen, place of birth, Sweden)"
"Roger Mears (born March 24, 1947, Wichita, Kansas), is a former off-road driver who also drove in the USAC and CART Championship Car series .","(Roger Mears, place of birth, Wichita)"
"Born in Switzerland, Gero spent much of his childhood in Ottawa, Ontario .","(Martin Gero, place of birth, Switzerland)"
"The only child of William Duncombe, he was born in London .","(John Duncombe, place of birth, London)"
"Chris Welsby (born in 1948 in Exeter, Great Britain) is a British experimental filmmaker, author of film installations, and multimedia artist .","(Chris Welsby, place of birth, Exeter)"
"Born in London in 1950, Freedman has worked as CEO in a variety of SMEs as well in the voluntary sector .","(Harry Freedman, place of birth, London)"
Bobby McDonald was a Scottish footballer who was born in Aberdeen who played in the left back position .,"(Bobby McDonald, place of birth, Aberdeen)"
"Thomas Scott (1739 -- March 2, 1796) was an American lawyer and politician who was born in Chester County in the Commonwealth of Pennsylvania .","(Thomas Scott, place of birth, Pennsylvania)"
"Luca Princiotta, born July 12, 1982 in Como, is an Italian guitarist .","(Luca Princiotta, place of birth, Como)"
"Born in Winnipeg, Melnick received a Bachelor of Arts degree from the University of Manitoba and subsequently received a Master's Degree in Library and Information Science from Dalhousie University in Nova Scotia .","(Christine Melnick, place of birth, Winnipeg)"
"Philippa Perry was born in 1957, in Warrington, Cheshire, and educated at boarding school and at a Swiss finishing school .","(Philippa Perry, place of birth, Warrington)"
"Thomas Webley (born 2 March 1983, Bristol) is an English cricketer .","(Thomas Webley, place of birth, Bristol)"
Luigi Attademo is an Italian classical guitarist born in Naples in 1972 .,"(Luigi Attademo, place of birth, Naples)"
"Karolina Kosińska (born 17 June 1986 in Warsaw) is a Polish professional tennis player who is, as of 1 March 2010, ranked No 271 .","(Karolina Kosińska, place of birth, Warsaw)"
"Jacques Autreau, a French portrait painter and dramatic poet, was born in Paris in 1657 .","(Jacques Autreau, place of birth, Paris)"
Werner Ploberger (born 5 August 1956 in Vienna) is an Austrian economist .,"(Werner Ploberger, place of birth, Vienna)"
Ephraim Hertzano was a board game designer born in Romania .,"(Ephraim Hertzano, place of birth, Romania)"
"Thomas Davidson (28 August 1828 Nottingham, England -- 18 February 1874 Philadelphia) was a naval constructor for the United States Navy .","(Thomas Davidson, place of birth, Nottingham)"
"Eileen Beldon was born on 12 September 1901 in Bradford, West Yorkshire to parents Albert Beldon and Bertha Nicholson .","(Eileen Beldon, place of birth, Bradford)"
"Edward Alfred Cowper (10 December 1819 London -- 9 May 1893 Rastricke, Weybridge, Surrey) was a British mechanical engineer .","(Edward Alfred Cowper, place of birth, London)"
"Born in Derry, Tierney worked as a tool setter before joining the Social Democratic and Labour Party (SDLP) .","(John Tierney, place of birth, Derry)"
"Norman MacDonnell (November 8, 1916, in Pasadena, California -- November 28, 1979, in Burbank, California) was an American radio and television producer best known for co-creating (along with John Meston) and producing the Western radio and television series, Gunsmoke .","(Norman Macdonnell, place of birth, Pasadena)"
Heinrich Hirschsprung was born on 7 February 1836 in Copenhagen inro a family of German-Jewish decent .,"(Heinrich Hirschsprung, place of birth, Copenhagen)"
"David Vaughan (born 17 May 1924, London) is the archivist for the Merce Cunningham Dance Company, as well as a dance writer and critic, and a scholar on the work of choreographer Frederick Ashton .","(David Vaughan, place of birth, London)"
Gregory Woods (born in 1953 in Egypt) is a British poet who grew up in Ghana .,"(Gregory Woods, place of birth, Egypt)"
"Symeon Cosburn is an accomplished jazz singer born in London, England .","(Symeon Cosburn, place of birth, London)"
"Joanne Fox (born 12 June 1979 in Melbourne, Victoria) is an Australian water polo player from the gold medal squad of the 2000 Summer Olympics .","(Joanne Fox, place of birth, Melbourne)"
"Federico Cervelli (1625 --before 1700) was an Italian painter, born in Milan, who established his workshop in Venice at the age of about thirty .","(Federico Cervelli, place of birth, Milan)"
"Al Lerner (b. 1919 in Cleveland, Ohio) is an American pianist, composer, arranger, and conductor from the Big band era .","(Al Lerner, place of birth, Cleveland)"
"Born in Manchester, Leigh went to Clifton College and Christ's College, Cambridge in 1968 .","(Rowley Leigh, place of birth, Manchester)"
"Born in Birmingham, Mirza played two games for Warwickshire's second team in 1990 before appearing for Worcestershire's second team later that summer .","(Parvaz Mirza, place of birth, Birmingham)"
Mitchell was born on Auckland's North Shore and attended Rosmini College .,"(Mark Mitchell, place of birth, Auckland)"
"Stuart Pearson Wright (born 1975, Northampton) is an award winning English artist who works mainly in paint .","(Stuart Pearson Wright, place of birth, Northampton)"
"Brett Warton born 4 June 1975 in Sydney, New South Wales, Australia is a former rugby league player .","(Brett Warton, place of birth, Sydney)"
"Liliegren was born 1969 in Lund, Sweden .","(Fredrik Liliegren, place of birth, Lund)"
"Gottlob Christian Storr (September 10, 1746 -- January 17, 1805) was a German Protestant theologian born in Stuttgart .","(Gottlob Christian Storr, place of birth, Stuttgart)"
Donovan Livingston Blake (born 4 December 1961 in Jamaica) is an American cricketer .,"(Donovan Blake, place of birth, Jamaica)"
"Paula Malai Ali Othman (born 3 March 1974, in Brunei) is a television personality from Brunei .","(Paula Malai Ali, place of birth, Brunei)"
"Joe Zakas (born November 7, 1950, Chicago, Illinois) is a Republican member of the Indiana State Senate representing the 11th district where he has served since 1982 .","(Joe Zakas, place of birth, Illinois)"
Jason Colwell (born 31 January 1974 in Dublin) is an Irish former football player .,"(Jason Colwell, place of birth, Dublin)"
"Joachim Martin Falbe, a portrait painter, born at Berlin in 1709, was instructed by Harper and A Pesne .","(Joachim Martin Falbe, place of birth, Berlin)"
"Malcolm Cecil (born 9 January 1937, London) is a British jazz bassist and Grammy Award-winning record producer .","(Malcolm Cecil, place of birth, London)"
"Born in Peterborough, Ontario, Cherney is the brother of composer Brian Cherney .","(Lawrence Cherney, place of birth, Peterborough)"
"Born in Russia, Schwartz went to America in 1906 .","(Morris Schwartz, place of birth, Russia)"
"The Belser family has been long-established in the South, with Christian Belser (1752--1812) arriving in Charleston from Baden-Baden, Duchy of Württemberg in 1787 .","(Burkey Belser, place of birth, Columbia)"
"Born in Edmonton, Alberta, Milne started writing professionally at age 14 Two years later, she was hired by The Calgary Herald, as a columnist for ``20 Below'', which was geared to discussing teen issues .","(Carly Milne, place of birth, Edmonton)"
"Bill Utterback ( 1931 - 2010 ),was born on January 5, 1931 Arlington Heights, Illinois is an illustrator and caricature artist .","(Bill Utterback, place of birth, Illinois)"
"Marcello Vernola (born on 4 March 1961 in Bari) is an Italian politician and Member of the European Parliament for Southern with the Forza Italia, part of the European People's Party and sits on the European Parliament's Committee on the Environment, Public Health and Food Safety .","(Marcello Vernola, place of birth, Bari)"
"Barbara Clark (born September 24, 1958 in Coronation, Alberta) is a former international freestyle swimmer from Canada, who won the bronze medal in the Women's Women's 4x100 Freestyle Relay, alongside Becky Smith, Gail Amundrud, and Anne Jardin .","(Barbara Clark, place of birth, Alberta)"
"Joseph Beer (sometimes written Boer born 1744 at Grünwald in Bohemia, died at Potsdam 1811) was one of the first internationally famous clarinet virtuousos, with connections to many major composers of the era .","(Joseph Beer, place of birth, Bohemia)"
Hopkin was born at Nottingham .,"(Humphrey Hopkin, place of birth, Nottingham)"
"Albert Vizentini was a French violinist, composer, conductor and music writer, born in Paris on 9 November 1841, and died there on 21 October 1906 .","(Albert Vizentini, place of birth, Paris)"
"Born in Cardiff, Wales, Bowden was a councillor on Leicester City Council 1938--45 and president of Leicester Labour Party in 1938 .","(Herbert Bowden, Baron Aylestone, place of birth, Cardiff)"
"Dame Enid Bibby, DBE (born 8 February 1951, Sheffield, Yorkshire) is a British educator who garnered notability for her role as headteacher in improving Wood Green High School in Wednesbury, West Midlands, England .","(Enid Bibby, place of birth, Sheffield)"
"Born in East Belfast, Lyttle studied at Queen's University Belfast and Harvard University before working as the Research Assistant for Naomi Long of the Alliance Party of Northern Ireland .","(Chris Lyttle, place of birth, Belfast)"
